,gene,TBI Subacute vs SControl Log2 fold change,Subacute pval,Subacute padj,Subacute-log10(p_value),Subacute-log10(padj)
4262,Fgd2,-1.868197760088349,0.1293075580642328,0.6918822042802452,0.8883760897394131,0.15996783962671646
4263,Pim1,0.1452614953503721,0.6694114660870922,0.9580081636905622,0.17430685305427152,0.018630790054381705
4264,Ccdc167,-0.258083329044435,0.4379589047476243,0.9008696265942449,0.3585666389905527,0.04533805535562132
4265,Cmtr1,-0.208333252092129,0.6390843117197416,0.955226802383994,0.19444184340774712,0.01989350032257281
4266,Glo1,0.229481149082527,0.3004500030283851,0.8472387364994386,0.5222277872732723,0.07199419612133828
4270,Abcg1,-0.118199485004568,0.648311354691159,0.9563403943354554,0.1882163719856664,0.019387499910815436
4274,Slc37a1,-0.836471372698911,0.2811126636857253,0.8373392570717647,0.5511195896648781,0.07709854723673375
4275,Wdr4,-0.1582270073069173,0.544725571131865,0.931635675846204,0.2638222370991835,0.030753889044096552
4276,Ndufv3,0.4256337344727194,0.056361514624337,0.5150752295669009,1.2490173444456998,0.2881293352312013
4279,Sik1,-0.2030668973674999,0.3175626435055854,0.8561365668775045,0.49817059148923937,0.06745695318427893
4280,Arhgap28,-0.8432249502277901,0.0049172067385868,0.1461342351326127,2.3082815318888192,0.8352480291892276
4281,Epb41l3,-1.1000326035773125,0.0480870448157025,0.480349428550992,1.3179719116279776,0.31844272162162646
4282,Akap8,-0.0958891546703003,0.6412740587188772,0.9552884576647016,0.19295632812130037,0.01986546961404018
4283,Myl12a,0.6664818594870843,0.0002125507526001,0.0169101926167592,3.672537352943427,1.7718514455117074
4284,Myom1,0.118171848480736,0.7934544855807572,0.9758428056998992,0.10047798034964277,0.010620135320371123
4285,Wiz,-0.0649572741045013,0.8077178721223327,0.979296217975812,0.09274030751332642,0.009085922728069467
4286,Lpin2,-0.1576174311191055,0.4836627292886158,0.9121340338090966,0.31545737775095667,0.03994133944941701
4287,Emilin2,-1.1388097170662517,0.1204874749978993,0.6797859708919255,0.9190580968402817,0.16762780242888173
4288,Smchd1,-0.0756926052403163,0.7931669030839101,0.9758428056998992,0.10063541613581413,0.010620135320371123
4289,Cyp4f13,-0.1325383090009814,0.7141962124349706,0.9665699173621692,0.14618245731175247,0.014766725570939419
4290,Ndc80,-1.166422673360593,0.0564144565177015,0.5152586113064901,1.248609591382598,0.287974741301997
4292,Lbh,0.1441508658424454,0.579483753751044,0.9432936913228523,0.2369587352917183,0.025353070080344143
4294,Ehd3,-0.3572147462721745,0.2140585666699332,0.7864369234453503,0.6694673869231895,0.1043361044433122
4295,Xdh,0.7645593871799712,0.0650309915779649,0.5488587673674987,1.1868796239168224,0.2605393940633153
4296,Dpy30,0.4052684143925972,0.1637269764607554,0.7394078452016408,0.7858797582006188,0.131115945824439
4297,Spast,-0.1744981023083722,0.4402177986721385,0.9008696265942449,0.3563324022442161,0.04533805535562132
4298,Slc30a6,0.3566208646679251,0.2056497977238879,0.7802912402639938,0.6868717133244755,0.10774326855077826
4299,Prkd3,0.0935453029900137,0.7030425775991356,0.9629348394028008,0.15301837248172043,0.016403100046031148
4300,Yipf4,0.1024220014627993,0.7017446407688754,0.9629348394028008,0.15382089539233643,0.016403100046031148
4301,Birc6,-0.3110210858589465,0.1944993962556701,0.7676232252721729,0.7110817424269003,0.11485189368779951
4302,Crim1,-0.2513871026145076,0.3021654900451694,0.8482607425179904,0.5197551374118585,0.07147063166900079
4304,Strn,-0.1595876636577916,0.4779003144620729,0.911603963805386,0.3206626837100115,0.04019379510304436
4305,Ttc27,0.3163273785731407,0.3626006824698325,0.8760114255848813,0.44057138283123437,0.05749022940713975
4306,Eif2ak2,-0.1553314611827876,0.4283338342082834,0.9003294414465389,0.36821761920698004,0.045598547868693065
4307,Cebpz,0.080647786564357,0.7130094522115518,0.9662916842592414,0.14690471276228767,0.014891757908503203
